name,id,examine,members,lowalch,item_limit,value,highalch,icon
Crossbow,837,This fires crossbow bolts.,f,28,125,70,42,Crossbow.png
Crossbow string,9438,A string for a crossbow.,t,1,11000,1,1,Crossbow string.png
Crude chair (flatpack),8496,How does it all fit in there?,t,4,500,10,6,Crude chair (flatpack).png
Crunchy tray,2165,A shallow tray used for baking crunchies in.,t,4,40,10,6,Crunchy tray.png
Crushed nest,6693,A crushed bird's nest.,t,80,11000,200,120,Crushed nest.png
Crushed superior dragon bones,21975,Ground up superior dragon bones.,t,20,11000,50,30,Crushed superior dragon bones.png
Crystal 2h axe,28220,A woodcutter's axe.,f,1,,1,1,Crystal 2h axe.png
Crystal 2h axe (inactive),28223,A woodcutter's axe.,f,1,,1,1,Crystal 2h axe (inactive).png
Crystal armour seed,23956,A seed to be sung into the finest crystal armour.,t,200000,100,500000,300000,Crystal armour seed.png
Crystal ball (flatpack),8624,How does it all fit in there?,t,4,500,10,6,Crystal ball (flatpack).png
Crystal grail,24000,Smells of victory.,t,12000,,30000,18000,Crystal grail.png
Crystal key,989,A mysterious key for a mysterious chest.,t,60,11000,150,90,Crystal key.png
Crystal of power (flatpack),8628,How does it all fit in there?,t,4,500,10,6,Crystal of power (flatpack).png
Crystal tool seed,23953,A seed to be sung into the best tools of the craft.,t,200000,100,500000,300000,Crystal tool seed.png
Crystal weapon seed,4207,A seed to be sung into the finest crystal weapons.,t,1,70,1,1,Crystal weapon seed.png
Cup of hot water,4460,It's hot!,t,4,13000,10,6,Cup of hot water.png
Cup of tea,1978,A nice cup of tea.,t,4,2000,10,6,Cup of tea.png
Cup of water,4458,A cup of water.,t,4,13000,10,6,Cup of water.png
Cured yak-hide,10820,Ready to be cut and sewn into armour.,t,40,13000,100,60,Cured yak-hide.png
Curry,2011,It's a spicy hot curry.,t,8,10000,20,12,Curry.png
Curry leaf,5970,I could make a spicy curry with this.,t,7,11000,19,11,Curry leaf.png
Curry sapling,5499,This sapling is ready to be replanted in a fruit tree patch.,t,1,200,1,1,Curry sapling.png
Curry tree seed,5286,Plant in a plantpot of soil to grow a sapling.,t,15,200,39,23,Curry tree seed 5.png
Cyclops head,19915,You'd expect this to interfere with your 3D vision.,t,2000,4,5000,3000,Cyclops head.png
Dagannoth bones,6729,These would feed a dogfish for months!,t,60,7500,150,90,Dagannoth bones.png
Dagannoth hide,6155,A sturdy piece of dagannoth hide.,t,24,11000,60,36,Dagannoth hide.png
Dagon'hai hat,24288,A hat worn by members of the Dagon'hai.,t,6800,,17000,10200,Dagon'hai hat.png
Dagon'hai robe bottom,24294,A robe worn by members of the Dagon'hai.,t,36000,,90000,54000,Dagon'hai robe bottom.png
Dagon'hai robe top,24291,A robe worn by members of the Dagon'hai.,t,56000,,140000,84000,Dagon'hai robe top.png
Dagon'hai robes set,24333,"A set containing a Dagon''hai hat, robe top and robe bottom.",t,86800,,217000,130200,Dagon'hai robes set.png
Damaged monkey tail,19665,"Smells like the north end of a southbound monkey, because it is.",t,1,13000,2,1,Damaged monkey tail.png
Dareeyak teleport (tablet),12777,"A teleport to Dareeyak, in level 23 Wilderness.",t,1,10000,1,1,Dareeyak teleport (tablet).png
Dark bow,11235,A bow from a darker dimension.,t,48000,8,120002,72001,Dark bow.png
Dark bow tie,19970,Bow ties are cool.,t,2000,4,5000,3000,Dark bow tie.png
Dark cavalier,2641,All for one and one for all!,t,80,4,200,120,Dark cavalier.png
Dark crab,11936,This looks tricky to eat.,t,128,10000,320,192,Dark crab.png
Dark fishing bait,11940,What on earth would eat this?,t,1,8000,3,1,Dark fishing bait.png
Dark infinity colour kit,12528,Use on infinity pieces to recolour them!,t,2000,4,5000,3000,Dark infinity colour kit.png
Dark kebbit fur,10115,"Sleek, silent and furry.",t,84,10000,210,126,Dark kebbit fur.png
Dark trousers,19964,Dark tuxedo trousers with white stockings.,t,2400,4,6000,3600,Dark trousers.png
Dark tuxedo cuffs,19961,Linked tuxedo cuffs with a dark trim.,t,1200,4,3000,1800,Dark tuxedo cuffs.png
Dark tuxedo jacket,19958,A dark tuxedo jacket with a white shirt.,t,4000,4,10000,6000,Dark tuxedo jacket.png
Dark tuxedo shoes,19967,Dark shoes to match your dark tuxedo.,t,1200,4,3000,1800,Dark tuxedo shoes.png
Dashing kebbit fur,10127,Nature's equivalent of go-faster stripes.,t,108,10000,270,162,Dashing kebbit fur.png
Death rune,560,Used for medium level missile spells.,f,72,25000,180,108,Death rune.png
Death talisman,1456,A mysterious power emanates from the talisman...,t,1,11000,4,2,Death talisman.png
Death tiara,5547,A tiara infused with the properties of death.,t,40,40,100,60,Death tiara.png
Deerstalker,12540,Elementary!,t,920,4,2300,1380,Deerstalker.png
Defence mix(1),11459,One dose of fishy Defence potion.,t,24,2000,60,36,Defence mix(1).png
Defence mix(2),11457,Two doses of fishy Defence potion.,t,36,2000,90,54,Defence mix(2).png
Defence potion(1),137,1 dose of Defence potion.,t,24,2000,60,36,Defence potion(1).png
Defence potion(2),135,2 doses of Defence potion.,t,36,2000,90,54,Defence potion(2).png
Defence potion(3),133,3 doses of Defence potion.,t,48,2000,120,72,Defence potion(3).png
Defence potion(4),2432,4 doses of Defence potion.,t,60,2000,150,90,Defence potion(4).png
Demon feet,23294,Vicious demon slippers.,f,400,4,1000,600,Demon feet.png
Desert boots,1837,Comfortable desert shoes.,t,8,150,20,12,Desert boots.png
Desert camo legs,10063,These should make me harder to spot in desert areas.,t,8,,20,12,Desert camo legs.png
Desert camo legs (equipped),28854,These should make me harder to spot in desert areas.,t,8,,20,12,Desert camo legs.png
Desert camo top,10061,This should make me harder to spot in desert areas.,t,8,,20,12,Desert camo top.png
Desert camo top (equipped),28851,This should make me harder to spot in desert areas.,t,8,,20,12,Desert camo top.png
Desert devil fur,10123,Sandy coloured kebbit fur.,t,6,10000,17,10,Desert devil fur.png
Desert goat horn,9735,Not much good for blowing.,t,4,13000,12,7,Desert goat horn.png
Desert legs,6390,Better than factor 50 sun cream.,t,10,150,25,15,Desert legs.png
Desert robe,1835,"A cool, light desert robe.",t,16,150,40,24,Desert robe.png
Desert robes,6386,Has a coarse hard wearing texture.,t,10,150,25,15,Desert robes.png
Desert shirt,1833,"A cool, light desert shirt.",t,16,150,40,24,Desert shirt.png
Desert top,6384,A bit itchy.,t,6,150,15,9,Desert top.png
Desert top (overcoat),6388,Good for those cold desert nights.,t,14,150,35,21,Desert top (overcoat).png
Devout boots,22954,A pair of Devout Boots.,t,8000,70,20000,12000,Devout boots.png
Dexterous prayer scroll,21034,Scrawled words that can invoke the power of the gods.,t,32000,5,80000,48000,Dexterous prayer scroll.png
Dharok's armour set,12877,"A set containing a Dharok''s helm, platelegs, platebody and greataxe.",t,160000,8,400000,240000,Dharok's armour set.png
Dharok's greataxe,4718,Dharok the Wretched's greataxe.,t,83200,15,208000,124800,Dharok's greataxe.png
Dharok's greataxe 0,4890,Dharok the Wretched's greataxe.,t,83200,15,208000,124800,Dharok's greataxe 0.png
Dharok's helm,4716,Dharok the Wretched's helm.,t,41200,15,103000,61800,Dharok's helm.png
Dharok's helm 0,4884,Dharok the Wretched's helm.,t,41200,15,103000,61800,Dharok's helm 0.png
Dharok's platebody,4720,Dharok the Wretched's platebody armour.,t,112000,15,280000,168000,Dharok's platebody.png
Dharok's platebody 0,4896,Dharok the Wretched's platebody armour.,t,112000,15,280000,168000,Dharok's platebody 0.png
Dharok's platelegs,4722,Dharok the Wretched's plate leg armour.,t,110000,15,275000,165000,Dharok's platelegs.png
Dharok's platelegs 0,4902,Dharok the Wretched's plate leg armour.,t,110000,15,275000,165000,Dharok's platelegs 0.png
Diamond,1601,This looks valuable.,f,800,11000,2000,1200,Diamond.png
Diamond amulet,1700,I wonder if I can get this enchanted.,f,1410,10000,3525,2115,Diamond amulet.png
Diamond amulet (u),1681,It needs a string so I can wear it.,f,1410,10000,3525,2115,Diamond amulet (u).png
Diamond bolt tips,9192,Diamond bolt tips.,t,53,11000,133,79,Diamond bolt tips 5.png
Diamond bolts,9340,Diamond tipped Adamantite crossbow bolts.,t,76,11000,192,115,Diamond bolts 5.png
Diamond bolts (e),9243,Enchanted Diamond tipped Adamantite Crossbow Bolts.,t,84,11000,211,126,Diamond bolts (e) 5.png
Diamond bracelet,11092,I wonder if this is valuable.,t,1530,10000,3825,2295,Diamond bracelet.png
Diamond dragon bolts,21969,"Dragon crossbow bolts, tipped with diamond.",t,340,11000,850,510,Diamond dragon bolts 5.png
Diamond dragon bolts (e),21946,"Enchanted Dragon crossbow bolts, tipped with diamond.",t,352,11000,880,528,Diamond dragon bolts (e) 5.png
Diamond necklace,1662,I wonder if this is valuable.,f,1470,18000,3675,2205,Diamond necklace.png
Diamond ring,1643,A valuable ring.,f,1410,10000,3525,2115,Diamond ring.png
Digsite teleport,12403,Teleports you to the Digsite.,t,4,10000,10,6,Digsite teleport.png
Dinh's bulwark,21015,Is it... looking at me?,t,224000,8,560000,336000,Dinh's bulwark.png
Disk of returning,981,Used to get out of Thordur's blackhole.,f,48,50,120,72,Disk of returning.png
Divine bastion potion(1),24644,1 dose of divine bastion potion.,t,1,2000,1,1,Divine bastion potion(1).png
Divine bastion potion(2),24641,2 doses of divine bastion potion.,t,1,2000,1,1,Divine bastion potion(2).png
Divine bastion potion(3),24638,3 doses of divine bastion potion.,t,1,2000,1,1,Divine bastion potion(3).png
Divine bastion potion(4),24635,4 doses of divine bastion potion.,t,1,2000,1,1,Divine bastion potion(4).png
Divine battlemage potion(1),24632,1 dose of divine battlemage potion.,t,1,2000,1,1,Divine battlemage potion(1).png
Divine battlemage potion(2),24629,2 doses of divine battlemage potion.,t,1,2000,1,1,Divine battlemage potion(2).png
Divine battlemage potion(3),24626,3 doses of divine battlemage potion.,t,1,2000,1,1,Divine battlemage potion(3).png
Divine battlemage potion(4),24623,4 doses of divine battlemage potion.,t,1,2000,1,1,Divine battlemage potion(4).png
Divine magic potion(1),23754,1 dose of divine magic potion.,t,16,2000,40,24,Divine magic potion(1).png
Divine magic potion(2),23751,2 doses of divine magic potion.,t,36,2000,90,54,Divine magic potion(2).png
Divine magic potion(3),23748,3 doses of divine magic potion.,t,68,2000,170,102,Divine magic potion(3).png
Divine magic potion(4),23745,4 doses of divine magic potion.,t,100,2000,250,150,Divine magic potion(4).png
Divine ranging potion(1),23742,1 dose of divine ranging potion.,t,16,2000,40,24,Divine ranging potion(1).png
Divine ranging potion(2),23739,2 doses of divine ranging potion.,t,36,2000,90,54,Divine ranging potion(2).png
Divine ranging potion(3),23736,3 doses of divine ranging potion.,t,68,2000,170,102,Divine ranging potion(3).png
Divine ranging potion(4),23733,4 doses of divine ranging potion.,t,100,2000,250,150,Divine ranging potion(4).png
Divine super attack potion(1),23706,1 dose of divine super attack potion.,t,16,2000,40,24,Divine super attack potion(1).png
Divine super attack potion(2),23703,2 doses of divine super attack potion.,t,36,2000,90,54,Divine super attack potion(2).png
Divine super attack potion(3),23700,3 doses of divine super attack potion.,t,68,2000,170,102,Divine super attack potion(3).png
Divine super attack potion(4),23697,4 doses of divine super attack potion.,t,100,2000,250,150,Divine super attack potion(4).png
Divine super combat potion(1),23694,1 dose of divine super combat potion.,t,16,2000,40,24,Divine super combat potion(1).png
Divine super combat potion(2),23691,2 doses of divine super combat potion.,t,36,2000,90,54,Divine super combat potion(2).png
Divine super combat potion(3),23688,3 doses of divine super combat potion.,t,68,2000,170,102,Divine super combat potion(3).png
Divine super combat potion(4),23685,4 doses of divine super combat potion.,t,100,2000,250,150,Divine super combat potion(4).png
Divine super defence potion(1),23730,1 dose of divine super defence potion.,t,16,2000,40,24,Divine super defence potion(1).png
Divine super defence potion(2),23727,2 doses of divine super defence potion.,t,36,2000,90,54,Divine super defence potion(2).png
Divine super defence potion(3),23724,3 doses of divine super defence potion.,t,68,2000,170,102,Divine super defence potion(3).png
Divine super defence potion(4),23721,4 doses of divine super defence potion.,t,100,2000,250,150,Divine super defence potion(4).png
Divine super strength potion(1),23718,1 dose of divine super strength potion.,t,16,2000,40,24,Divine super strength potion(1).png
Divine super strength potion(2),23715,2 doses of divine super strength potion.,t,36,2000,90,54,Divine super strength potion(2).png
Divine super strength potion(3),23712,3 doses of divine super strength potion.,t,68,2000,170,102,Divine super strength potion(3).png
Fish offcuts,11334,Slices of inedible fish.,t,1,8000,1,1,Fish offcuts.png
Divine super strength potion(4),23709,4 doses of divine super strength potion.,t,100,2000,250,150,Divine super strength potion(4).png
Dodgy necklace,21143,Lets you get away with it - sometimes.,t,420,10000,1050,630,Dodgy necklace.png
Doogle leaves,1573,"A tasty herb, good for seasoning.",t,1,15,2,1,Doogle leaves.png
Dorgeshuun crossbow,8880,This fires crossbow bolts.,t,800,70,2000,1200,Dorgeshuun crossbow.png
Double eye patch,19727,A black piece of cloth on a string.,t,1,4,2,1,Double eye patch.png
Draconic visage,11286,It looks like this could be attached to a shield somehow.,t,300000,5,750000,450000,Draconic visage.png
Dragon 2h sword,7158,A two-handed Dragon Sword.,t,88000,8,220000,132000,Dragon 2h sword.png
Dragon armour set (lg),21882,"A set containing a full helm, platebody, legs and kiteshield.",t,200000,8,500000,300000,Dragon armour set (lg).png
Dragon armour set (sk),21885,"A set containing a full helm, platebody, skirt and kiteshield.",t,200000,8,500000,300000,Dragon armour set (sk).png
Dragon arrow,11212,An arrow made using a dragon's talon.,t,320,11000,800,480,Dragon arrow 5.png
Dragon arrow(p),11227,Venomous-looking arrows.,t,320,11000,800,480,Dragon arrow(p) 5.png
Dragon arrow(p+),11228,Venomous-looking arrows.,t,320,11000,800,480,Dragon arrow(p+) 5.png
Dragon arrow(p++),11229,Venomous-looking arrows.,t,320,11000,800,480,Dragon arrow(p++) 5.png
Dragon arrowtips,11237,"Dragon talons, usable as arrowheads.",t,200,10000,500,300,Dragon arrowtips.png
Dragon axe,6739,A very powerful axe.,t,22000,40,55000,33000,Dragon axe.png
Dragon battleaxe,1377,A vicious looking axe.,t,80000,70,200000,120000,Dragon battleaxe.png
Dragon bitter,1911,A glass of bitter.,t,1,2000,2,1,Dragon bitter.png
Dragon bitter (flatpack),8524,How does it all fit in there?,t,4,500,10,6,Dragon bitter (flatpack).png
Dragon bitter(4),5809,This keg contains 4 pints of Dragon Bitter.,t,1,2000,1,1,Dragon bitter(4).png
Dragon bitter(m),5745,This looks a good deal stronger than normal Dragon Bitter.,t,1,2000,2,1,Dragon bitter(m).png
Dragon bitter(m4),5889,This keg contains 4 pints of mature Dragon Bitter.,t,1,2000,1,1,Dragon bitter(m4).png
Dragon bolts,21905,Dragon crossbow bolts.,t,170,11000,425,255,Dragon bolts 5.png
Dragon bolts (p),21924,Some poisoned dragon bolts.,t,172,11000,430,258,Dragon bolts (p) 5.png
Dragon bolts (p+),21926,Some poisoned dragon bolts.,t,174,11000,435,261,Dragon bolts (p+) 5.png
Dragon bolts (p++),21928,Some poisoned dragon bolts.,t,176,11000,440,264,Dragon bolts (p++) 5.png
Dragon bolts (unf),21930,Unfeathered dragon crossbow bolts.,t,56,13000,141,84,Dragon bolts (unf) 5.png
Dragon bones,536,These would feed a dog for months!,t,64,7500,160,96,Dragon bones.png
Dragon boots,11840,These will protect my feet.,t,8000,70,20000,12000,Dragon boots.png
Dragon boots ornament kit,22231,Use on some dragon boots to make them look fancier!,t,2000,4,5000,3000,Dragon boots ornament kit.png
Dragon cane,12373,An onyx topped cane.,t,12000,4,30000,18000,Dragon cane.png
Dragon chainbody,3140,A series of connected metal rings.,t,100000,70,250000,150000,Dragon chainbody.png
Dragon chainbody ornament kit,12534,Use on a dragon chainbody to make it look fancier!,t,2000,4,5000,3000,Dragon chainbody ornament kit.png
Dragon claws,13652,A set of fighting claws.,t,82000,8,205000,123000,Dragon claws.png
Dragon crossbow,21902,A dragon crossbow.,t,21600,70,54000,32400,Dragon crossbow.png
Dragon crossbow (u),21921,An unstrung dragon crossbow.,t,12000,10000,30000,18000,Dragon crossbow (u).png
Dragon dagger,1215,A powerful dagger.,t,12000,70,30000,18000,Dragon dagger.png
Dragon dagger(p),1231,A powerful dagger.,t,9600,70,24000,14400,Dragon dagger(p).png
Dragon dagger(p+),5680,A powerful dagger.,t,9600,70,24000,14400,Dragon dagger(p+).png
Dragon dagger(p++),5698,A powerful dagger.,t,9600,70,24000,14400,Dragon dagger(p++).png
Dragon dart,11230,A deadly throwing dart with a dragon tip.,t,200,11000,500,300,Dragon dart.png
Dragon dart tip,11232,A deadly looking dragon dart tip - needs feathers for flight.,t,100,11000,250,150,Dragon dart tip.png
Dragon dart(p),11231,A deadly poisoned dart with a dragon tip.,t,200,11000,500,300,Dragon dart(p).png
Dragon dart(p+),11233,A deadly poisoned dart with a dragon tip.,t,200,11000,500,300,Dragon dart(p+).png
Dragon dart(p++),11234,A deadly poisoned dart with a dragon tip.,t,200,11000,500,300,Dragon dart(p++).png
Dragon defender ornament kit,20143,Use on the dragon defender to trim it with gold.,t,2000,4,5000,3000,Dragon defender ornament kit.png
Dragon felling axe,28217,A woodcutter's axe.,t,22000,,55000,33000,Dragon felling axe.png
Dragon full helm,11335,Protects your head and looks impressive too.,t,60000,8,150000,90000,Dragon full helm.png
Dragon full helm ornament kit,12538,Use on a dragon full helm to make it look fancier!,t,2000,4,5000,3000,Dragon full helm ornament kit.png
Dragon halberd,3204,A dragon halberd.,t,100000,70,250000,150000,Dragon halberd.png
Dragon harpoon,21028,A very powerful harpoon.,t,22000,5,55000,33000,Dragon harpoon.png
Dragon hasta,22731,A one-handed dragon hasta.,t,24960,70,62400,37440,Dragon hasta.png
Dragon hasta(p),22734,"A poison-tipped, one-handed dragon hasta",t,24960,70,62400,37440,Dragon hasta(p).png
Dragon hasta(p+),22737,"A poison-tipped, one-handed dragon hasta",t,24960,70,62400,37440,Dragon hasta(p+).png
Dragon hasta(p++),22740,"A poison-tipped, one-handed dragon hasta",t,24960,70,62400,37440,Dragon hasta(p++).png
Dragon hunter crossbow,21012,A crossbow used for dragon hunting.,t,32000,8,80000,48000,Dragon hunter crossbow.png
Dragon hunter lance,22978,A lance that is exceptionally good at killing dragons and their ilk.,t,120000,8,300000,180000,Dragon hunter lance.png
Dragon impling jar,11256,Dragon impling in a jar.,t,20,18000,50,30,Dragon impling jar.png
Dragon javelin,19484,A dragon tipped javelin.,t,180,11000,450,270,Dragon javelin.png
Dragon javelin heads,19582,Needs a shaft.,t,780,10000,1950,1170,Dragon javelin heads 5.png
Dragon javelin(p),19486,A dragon tipped javelin.,t,180,11000,450,270,Dragon javelin(p).png
Dragon javelin(p+),19488,A dragon tipped javelin.,t,180,11000,450,270,Dragon javelin(p+).png
Dragon javelin(p++),19490,A dragon tipped javelin.,t,180,11000,450,270,Dragon javelin(p++).png
Dragon kiteshield,21895,An ancient and powerful looking Dragon Kiteshield.,t,640000,70,1600000,960000,Dragon kiteshield.png
Dragon kiteshield ornament kit,22239,Use on a dragon kiteshield to make it look fancier!,t,2000,4,5000,3000,Dragon kiteshield ornament kit.png
Dragon knife,22804,A finely balanced and powerful throwing knife.,t,66,11000,167,100,Dragon knife.png
Dragon knife(p),22806,A finely balanced and powerful throwing knife.,t,66,7000,166,99,Dragon knife(p).png
Dragon knife(p+),22808,A finely balanced and powerful throwing knife.,t,66,7000,166,99,Dragon knife(p+).png
Dragon knife(p++),22810,A finely balanced and powerful throwing knife.,t,66,7000,166,99,Dragon knife(p++).png
Dragon legs/skirt ornament kit,12536,Use on dragon platelegs or plateskirt to make them look fancier!,t,2000,4,5000,3000,Dragon legs+skirt ornament kit.png
Dragon limbs,21918,A pair of dragon crossbow limbs.,t,14000,10000,35000,21000,Dragon limbs.png
Dragon longsword,1305,A very powerful sword.,t,40000,70,100000,60000,Dragon longsword.png
Dragon mace,1434,A spiky mace.,t,20000,70,50000,30000,Dragon mace.png
Dragon med helm,1149,Makes the wearer pretty intimidating.,t,40000,8,100000,60000,Dragon med helm.png
Dragon metal lump,22103,A badly damaged lump of dragon metal.,t,60000,50,150000,90000,Dragon metal lump.png
Dragon metal shard,22097,A badly damaged shard of dragon metal.,t,480000,50,1200000,720000,Dragon metal shard.png
Dragon metal slice,22100,A badly damaged slice of dragon metal.,t,40000,50,100000,60000,Dragon metal slice.png
Dragon necklace,1664,I wonder if this is valuable.,t,7350,10000,18375,11025,Dragon necklace.png
Dragon pickaxe,11920,"If rocks could feel fear, they''d fear this.",t,39180,40,97950,58770,Dragon pickaxe.png
Dragon pickaxe upgrade kit,12800,Makes a dragon pickaxe more beautiful.,t,640,50,1600,960,Dragon pickaxe upgrade kit.png
Dragon platebody,21892,Provides excellent protection.,t,800000,70,2000000,1200000,Dragon platebody.png
Dragon platebody ornament kit,22236,Use on a dragon platebody to make it look fancier!,t,2000,4,5000,3000,Dragon platebody ornament kit.png
Dragon platelegs,4087,These look pretty heavy.,t,108000,70,270000,162000,Dragon platelegs.png
Dragon plateskirt,4585,This looks pretty heavy.,t,108000,70,270000,162000,Dragon plateskirt.png
Dragon scale dust,241,Finely ground scale of Dragon.,t,20,13000,52,31,Dragon scale dust.png
Dragon scimitar,4587,"A vicious, curved sword.",t,40000,70,100000,60000,Dragon scimitar.png
Dragon scimitar ornament kit,20002,Use on the dragon scimitar to trim it with gold.,t,2000,4,5000,3000,Dragon scimitar ornament kit.png
Dragon spear,1249,A dragon tipped spear.,t,24960,70,62400,37440,Dragon spear.png
Dragon spear(p),1263,A poisoned dragon tipped spear.,t,24960,70,62400,37440,Dragon spear(p).png
Dragon spear(p+),5716,A poisoned dragon tipped spear.,t,24960,70,62400,37440,Dragon spear(p+).png
Dragon spear(p++),5730,A poisoned dragon tipped spear.,t,24960,70,62400,37440,Dragon spear(p++).png
Dragon sq shield,1187,An ancient and powerful looking Dragon Square shield.,t,200000,70,500000,300000,Dragon sq shield.png
Dragon sq shield ornament kit,12532,Use on a dragon square shield to make it look fancier!,t,2000,4,5000,3000,Dragon sq shield ornament kit.png
Dragon sword,21009,A razor sharp sword.,t,28800,70,72001,43200,Dragon sword.png
Dragon thrownaxe,20849,A razor sharp throwing axe.,t,300,11000,750,450,Dragon thrownaxe.png
Dragon warhammer,13576,"Spikey, close combat weapon.",t,48000,8,120000,72000,Dragon warhammer.png
Dragonbone necklace,22111,A necklace made out of dragon bones.,t,32000,8,80000,48000,Dragonbone necklace.png
Dragonfire shield,11284,"A heavy shield with a snarling, draconic visage.",t,800000,8,2000000,1200000,Dragonfire shield (uncharged).png
Dragonfire ward,22003,"A light shield with a haunting, skeletal visage.",t,800000,8,2000000,1200000,Dragonfire ward (uncharged).png
Dragonfruit,22929,A large ripe dragonfruit.,t,38,11000,95,57,Dragonfruit.png
Dragonfruit pie,22795,Mmm dragonfruit pie.,t,28,10000,70,42,Dragonfruit pie.png
Dragonfruit sapling,22866,This sapling is ready to be replanted in a fruit tree patch.,t,1,200,1,1,Dragonfruit sapling.png
Dragonfruit tree seed,22877,Plant in a plantpot of soil to grow a sapling.,t,172,200,430,258,Dragonfruit tree seed 5.png
Dragonstone,1615,This looks valuable.,t,4000,11000,10000,6000,Dragonstone.png
Dragonstone amulet,1702,I wonder if I can get this enchanted.,t,7050,10000,17625,10575,Dragonstone amulet.png
Dragonstone amulet (u),1683,It needs a string so I can wear it.,t,7050,10000,17625,10575,Dragonstone amulet (u).png
Dragonstone armour set,23667,"A set containing dragonstone helmet, platebody, platelegs, boots and gauntlets.",t,32000,,80000,48000,Dragonstone armour set.png
Dragonstone bolt tips,9193,Dragonstone bolt tips.,t,266,11000,667,400,Dragonstone bolt tips 5.png
Dragonstone bolts,9341,Dragonstone tipped Runite crossbow bolts.,t,386,11000,967,580,Dragonstone bolts 5.png
Dragonstone bolts (e),9244,Enchanted Dragonstone tipped Runite Crossbow Bolts.,t,425,11000,1063,637,Dragonstone bolts (e) 5.png
Dragonstone boots,24043,A stylish pair of rune boots inlaid with dragonstones.,t,5000,,12500,7500,Dragonstone boots.png
Dragonstone bracelet,11115,I wonder if this is valuable.,t,7650,10000,19125,11475,Dragonstone bracelet.png
Dragonstone dragon bolts,21971,"Dragon crossbow bolts, tipped with dragonstone. Double dragon!",t,398,11000,995,597,Dragonstone dragon bolts 5.png
Dragonstone dragon bolts (e),21948,"Enchanted Dragon crossbow bolts, tipped with dragonstone. Double dragon!",t,460,11000,1150,690,Dragonstone dragon bolts (e) 5.png
Dragonstone full helm,24034,A stylish rune full helm inlaid with dragonstones.,f,14080,,35200,21120,Dragonstone full helm.png
Dragonstone gauntlets,24046,A stylish pair of rune gauntlets inlaid with dragonstones.,t,5000,,12500,7500,Dragonstone gauntlets.png
Dragonstone platebody,24037,A stylish rune platebody inlaid with dragonstones.,f,26000,,65000,39000,Dragonstone platebody.png
Dragonstone platelegs,24040,A stylish pair of rune platelegs inlaid with dragonstones.,f,25600,,64000,38400,Dragonstone platelegs.png
Dragonstone ring,1645,A valuable ring.,t,7050,10000,17625,10575,Dragonstone ring.png
Drake bones,22783,The bones of a ferocious Drake.,t,64,7500,160,96,Drake bones.png
Drake's claw,22957,The claw of a ferocious drake. They could be combined with the boots of stone.,t,40000,15,100000,60000,Drake's claw.png
Fish pie,7188,Bounty of the sea.,t,40,10000,100,60,Fish pie.png
Drake's tooth,22960,The tooth of a ferocious drake. They could be combined with holy sandals.,t,40000,70,100000,60000,Drake's tooth.png
Draynor manor teleport (tablet),19615,A teleport to Draynor Manor.,t,1,10000,1,1,Draynor manor teleport (tablet).png
Drift net,21652,"A very large net, too big to be used by hand.",t,8,600,20,12,Drift net.png
Druid's robe,538,Keeps a druid's knees nice and warm.,t,12,125,30,18,Druid's robe.png
Druid's robe top,540,I feel closer to the gods when I am wearing this.,t,16,125,40,24,Druid's robe top.png
Drunk dragon,2092,A warm creamy alcoholic beverage.,t,12,2000,30,18,Drunk dragon.png
Dual macuahuitl,28997,A brutal pair.,t,116004,,290010,174006,Dual macuahuitl.png
Dual sai,23206,A pair of aggressive Sai.,t,2400,8,6000,3600,Dual sai.png
Dust battlestaff,20736,It's a slightly magical stick.,t,6200,8,15500,9300,Dust battlestaff.png
Dust rune,4696,A combined Air and Earth Rune.,t,8,18000,20,12,Dust rune.png
Dwarf cannon set,12863,A set containing the four parts of the Dwarf Multicannon.,t,240000,40,600000,360000,Dwarf cannon set.png
Dwarf weed,267,A powerful herb.,t,28,11000,70,42,Dwarf weed.png
Dwarf weed potion (unf),109,I need another ingredient to finish this Dwarf Weed potion.,t,28,10000,70,42,Dwarf weed potion (unf).png
Dwarf weed seed,5303,A dwarf weed seed - plant in a herb patch.,t,2,200,6,3,Dwarf weed seed 5.png
Dwarven helmet,11200,A sturdy helmet that belonged to Rupert the Beard.,t,24000,50,60000,36000,Dwarven helmet.png
Dwarven stout,1913,A pint of thick dark beer.,f,1,2000,2,1,Dwarven stout.png
Dwarven stout(4),5777,This keg contains 4 pints of Dwarven Stout.,t,1,2000,1,1,Dwarven stout(4).png
Dwarven stout(m),5747,This looks a good deal stronger than normal Dwarven Stout.,t,1,2000,2,1,Dwarven stout(m).png
Dwarven stout(m4),5857,This keg contains 4 pints of mature Dwarven Stout.,t,1,2000,1,1,Dwarven stout(m4).png
Dwellberries,2126,Some rather pretty blue berries.,t,1,13000,4,2,Dwellberries.png
Dwellberry seed,5103,A dwellberry bush seed - plant in a bush patch.,t,10,600,25,15,Dwellberry seed 5.png
Dynamite,13573,"A pot of dynamite for blast mining, with a fuse ready to light.",t,20,13000,50,30,Dynamite.png
Earmuffs,4166,These will protect my ears from loud noise.,t,80,70,200,120,Earmuffs.png
Earth battlestaff,1399,It's a slightly magical stick.,t,6200,18000,15500,9300,Earth battlestaff.png
Earth impling jar,11244,Earth impling in a jar.,t,20,18000,50,30,Earth impling jar.png
Earth orb,575,A magic glowing orb.,t,120,11000,300,180,Earth orb.png
